Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-02 22:47:16.834,1.5095,0.1090,0.1550,0.3799,0.3034,1.1297,3
2026-02-02 22:47:17.474,1.5095,0.1090,0.1575,0.3784,0.2994,0.8430,4
2026-02-02 22:47:18.538,1.5235,0.1090,0.1575,0.3774,0.2966,0.6507,5
2026-02-02 22:47:19.050,1.5235,0.1090,0.1575,0.3767,0.2946,0.5161,6
2026-02-02 22:47:20.535,1.5235,0.1090,0.1575,0.3762,0.2932,0.4219,7
2026-02-02 22:47:21.955,1.5235,0.1090,0.1575,0.3758,0.2923,0.3559,8
2026-02-02 22:47:23.580,1.5235,0.1090,0.1575,0.3756,0.2916,0.3098,9
2026-02-02 22:47:24.781,1.5235,0.1090,0.1575,0.3754,0.2911,0.2775,10
2026-02-02 22:47:25.868,1.5243,0.1065,0.1575,0.3738,0.2908,0.2544,11
2026-02-02 22:47:27.283,1.5243,0.1065,0.1575,0.3726,0.2905,0.2382,12
2026-02-02 22:47:27.680,1.5243,0.1065,0.1575,0.3719,0.2904,0.2269,13
2026-02-02 22:47:28.771,1.5243,0.1065,0.1575,0.3713,0.2903,0.2190,14
2026-02-02 22:47:30.174,1.5243,0.1065,0.1575,0.3713,0.2903,0.2190,14
2026-02-02 22:47:30.844,1.5243,0.1065,0.1575,0.3713,0.2903,0.2190,14
2026-02-02 22:47:32.630,1.0351,0.1067,0.1775,0.3709,0.3112,0.5827,15
2026-02-02 22:47:34.623,1.0997,0.1092,0.1775,0.3691,0.3258,0.8761,16
2026-02-02 22:47:36.599,1.0997,0.1078,0.1575,0.3664,0.3241,1.0815,17
2026-02-02 22:47:38.321,1.0997,0.1078,0.1575,0.3645,0.3229,1.2252,18
2026-02-02 22:47:40.444,1.0997,0.1128,0.1600,0.3631,0.3235,1.3258,19
2026-02-02 22:47:41.670,1.0997,0.1128,0.1600,0.3622,0.3239,1.3963,20
2026-02-02 22:47:43.040,1.0997,0.1128,0.1600,0.3615,0.3243,1.4456,21
2026-02-02 22:47:44.162,1.0997,0.1128,0.1600,0.3611,0.3245,1.4801,22
2026-02-02 22:47:46.306,1.0997,0.1128,0.1600,0.3608,0.3246,1.5043,23
2026-02-02 22:47:47.001,1.0997,0.1128,0.1600,0.3605,0.3247,1.5212,24
2026-02-02 22:47:48.217,1.0997,0.1128,0.1600,0.3604,0.3248,1.5330,25
2026-02-02 22:47:49.131,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:50.479,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:52.050,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:52.993,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:53.917,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:55.193,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:56.640,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:57.598,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:58.868,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:47:59.533,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:02.115,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:03.881,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:05.201,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:06.134,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:06.734,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:08.151,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:09.465,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:09.997,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:10.786,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:12.048,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:13.468,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:14.744,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:15.556,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:17.191,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:17.843,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:18.406,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:20.207,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:20.949,1.1005,0.1153,0.1625,0.3588,0.3234,1.5408,26
2026-02-02 22:48:21.895,1.5568,0.1094,0.1550,0.3606,0.3119,1.1568,27
2026-02-02 22:48:22.302,1.5568,0.1094,0.1550,0.3619,0.3038,0.8880,28
2026-02-02 22:48:22.852,1.5568,0.1094,0.1550,0.3629,0.2982,0.6998,29
