Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-06 17:25:15.868,1.1595,0.0310,0.2570,0.4860,0.4712,1.3656,3
2026-02-06 17:25:16.043,1.1595,0.0307,0.2570,0.4861,0.4708,1.3656,4
2026-02-06 17:25:16.219,1.1595,0.0310,0.2549,0.4864,0.4710,1.3656,5
2026-02-06 17:25:16.393,1.1595,0.0307,0.2576,0.4861,0.4706,1.3656,6
2026-02-06 17:25:16.563,1.1595,0.0308,0.2549,0.4859,0.4692,1.3656,7
2026-02-06 17:25:16.748,1.1595,0.0300,0.2569,0.4863,0.4695,1.3656,8
2026-02-06 17:25:16.906,1.1595,0.0299,0.2576,0.4866,0.4694,1.3656,9
2026-02-06 17:25:17.072,1.1595,0.0301,0.2576,0.4868,0.4694,1.3656,10
2026-02-06 17:25:17.237,1.1595,0.0300,0.2576,0.4871,0.4700,1.3656,11
2026-02-06 17:25:17.408,1.1595,0.0301,0.2566,0.4871,0.4697,1.3656,12
2026-02-06 17:25:17.579,1.1595,0.0301,0.2566,0.4872,0.4698,1.3656,13
2026-02-06 17:25:17.748,1.1595,0.0301,0.2566,0.4873,0.4703,1.3656,14
2026-02-06 17:25:17.926,1.1595,0.0301,0.2569,0.4873,0.4702,1.3656,15
2026-02-06 17:25:18.094,1.1595,0.0305,0.2566,0.4874,0.4700,1.3656,16
2026-02-06 17:25:18.274,1.1595,0.0299,0.2576,0.4875,0.4699,1.3656,17
2026-02-06 17:25:18.447,1.1595,0.0299,0.2576,0.4876,0.4703,1.3656,18
2026-02-06 17:25:18.609,1.1595,0.0364,0.2568,0.4895,0.4700,1.3656,19
2026-02-06 17:25:18.778,1.1595,0.0363,0.2566,0.4909,0.4698,1.3656,20
2026-02-06 17:25:18.949,1.1595,0.0362,0.2565,0.4918,0.4695,1.3656,21
2026-02-06 17:25:19.127,1.1595,0.0362,0.2566,0.4924,0.4697,1.3656,22
2026-02-06 17:25:19.287,1.1595,0.0364,0.2570,0.4928,0.4695,1.3656,23
2026-02-06 17:25:19.466,1.1595,0.0362,0.2576,0.4945,0.4700,1.3656,24
2026-02-06 17:25:19.644,1.1595,0.0362,0.2570,0.4957,0.4700,1.3656,25
2026-02-06 17:25:19.841,1.1595,0.0385,0.2570,0.4951,0.4701,1.3656,26
2026-02-06 17:25:20.018,1.1595,0.0385,0.2576,0.4961,0.4705,1.3656,27
2026-02-06 17:25:20.196,1.1595,0.0385,0.2571,0.4968,0.4705,1.3656,28
2026-02-06 17:25:20.381,1.1595,0.0385,0.2570,0.4959,0.4704,1.3656,29
2026-02-06 17:25:20.561,1.1595,0.0384,0.2576,0.4966,0.4703,1.3656,30
2026-02-06 17:25:20.744,1.1589,0.0364,0.2572,0.4958,0.4703,1.3659,31
2026-02-06 17:25:20.931,1.1589,0.0364,0.2573,0.4953,0.4703,1.3661,32
2026-02-06 17:25:21.117,1.1589,0.0364,0.2570,0.4950,0.4702,1.3663,33
2026-02-06 17:25:21.301,1.1589,0.0364,0.2574,0.4947,0.4705,1.3664,34
2026-02-06 17:25:21.501,1.1589,0.0363,0.2566,0.4944,0.4707,1.3664,35
2026-02-06 17:25:21.688,1.1589,0.0363,0.2570,0.4942,0.4703,1.3665,36
2026-02-06 17:25:21.875,1.1589,0.0363,0.2576,0.4942,0.4706,1.3665,37
2026-02-06 17:25:22.065,1.1589,0.0297,0.2549,0.4902,0.4704,1.3666,38
2026-02-06 17:25:22.252,1.1589,0.0316,0.2576,0.4885,0.4703,1.3666,39
2026-02-06 17:25:22.440,1.1589,0.0320,0.2567,0.4876,0.4702,1.3666,40
2026-02-06 17:25:22.632,1.1595,0.0300,0.2570,0.4856,0.4700,1.3663,41
2026-02-06 17:25:22.824,1.1595,0.0300,0.2566,0.4844,0.4698,1.3661,42
2026-02-06 17:25:23.024,1.1589,0.0300,0.2576,0.4835,0.4698,1.3662,43
2026-02-06 17:25:23.237,1.1589,0.0300,0.2570,0.4829,0.4697,1.3663,44
2026-02-06 17:25:23.434,1.1589,0.0300,0.2570,0.4824,0.4695,1.3664,45
2026-02-06 17:25:23.626,1.1589,0.0300,0.2568,0.4821,0.4684,1.3665,46
2026-02-06 17:25:23.822,1.1589,0.0300,0.2568,0.4816,0.4686,1.3665,47
2026-02-06 17:25:24.026,1.1589,0.0295,0.2566,0.4812,0.4689,1.3666,48
2026-02-06 17:25:24.230,1.1589,0.0300,0.2568,0.4810,0.4680,1.3666,49
2026-02-06 17:25:24.425,1.1589,0.0295,0.2566,0.4811,0.4673,1.3666,50
2026-02-06 17:25:24.622,1.1589,0.0300,0.2549,0.4812,0.4669,1.3666,51
2026-02-06 17:25:24.821,1.1589,0.0300,0.2569,0.4812,0.4677,1.3666,52
2026-02-06 17:25:25.032,1.1589,0.0300,0.2569,0.4813,0.4682,1.3666,53
2026-02-06 17:25:25.232,1.1589,0.0300,0.2567,0.4813,0.4686,1.3666,54
2026-02-06 17:25:25.436,1.1589,0.0300,0.2567,0.4813,0.4688,1.3666,55
2026-02-06 17:25:25.651,1.1589,0.0300,0.2570,0.4814,0.4692,1.3666,56
2026-02-06 17:25:25.855,1.1589,0.0286,0.2570,0.4808,0.4698,1.3666,57
2026-02-06 17:25:26.060,1.1589,0.0286,0.2569,0.4806,0.4698,1.3666,58
2026-02-06 17:25:26.271,1.1589,0.0287,0.2569,0.4802,0.4697,1.3666,59
2026-02-06 17:25:26.474,1.1589,0.0286,0.2549,0.4801,0.4696,1.3666,60
2026-02-06 17:25:26.683,1.1589,0.0288,0.2566,0.4799,0.4696,1.3666,61
2026-02-06 17:25:26.901,1.1589,0.0292,0.2549,0.4801,0.4695,1.3666,62
2026-02-06 17:25:27.107,1.1737,0.0310,0.2570,0.4815,0.4722,1.3754,63
2026-02-06 17:25:27.317,1.1737,0.0311,0.2613,0.4826,0.4743,1.3816,64
2026-02-06 17:25:27.530,1.1737,0.0311,0.2631,0.4833,0.4756,1.3860,65
2026-02-06 17:25:27.743,1.1737,0.0312,0.2631,0.4838,0.4776,1.3890,66
2026-02-06 17:25:27.958,1.1737,0.0310,0.2579,0.4840,0.4778,1.3911,67
2026-02-06 17:25:28.174,1.1737,0.0310,0.2579,0.4843,0.4755,1.3926,68
2026-02-06 17:25:28.388,1.1737,0.0331,0.2570,0.4835,0.4739,1.3936,69
2026-02-06 17:25:28.610,1.1737,0.0330,0.2548,0.4827,0.4715,1.3944,70
2026-02-06 17:25:28.826,1.1737,0.0330,0.2549,0.4821,0.4709,1.3949,71
2026-02-06 17:25:29.042,1.1737,0.0330,0.2548,0.4818,0.4694,1.3952,72
2026-02-06 17:25:29.259,1.1737,0.0330,0.2578,0.4815,0.4683,1.3955,73
2026-02-06 17:25:29.473,1.1737,0.0329,0.2549,0.4813,0.4694,1.3956,74
2026-02-06 17:25:29.690,1.1737,0.0329,0.2633,0.4812,0.4709,1.3958,75
2026-02-06 17:25:29.921,1.1737,0.0326,0.2590,0.4811,0.4746,1.3959,76
2026-02-06 17:25:30.144,1.1737,0.0329,0.2630,0.4811,0.4768,1.3959,77
2026-02-06 17:25:30.364,1.1737,0.0329,0.2590,0.4810,0.4760,1.3960,78
2026-02-06 17:25:30.590,1.1737,0.0330,0.2578,0.4812,0.4748,1.3960,79
2026-02-06 17:25:30.816,1.1737,0.0330,0.2578,0.4811,0.4738,1.3960,80
2026-02-06 17:25:31.038,1.1737,0.0330,0.2549,0.4810,0.4732,1.3960,81
2026-02-06 17:25:31.256,1.1737,0.0326,0.2549,0.4813,0.4722,1.3960,82
2026-02-06 17:25:31.479,1.1737,0.0330,0.2566,0.4811,0.4715,1.3960,83
2026-02-06 17:25:31.704,1.1737,0.0331,0.2566,0.4810,0.4709,1.3960,84
2026-02-06 17:25:31.931,1.1737,0.0331,0.2630,0.4810,0.4706,1.3960,85
2026-02-06 17:25:32.157,1.1737,0.0327,0.2630,0.4809,0.4711,1.3960,86
2026-02-06 17:25:32.380,1.1737,0.0327,0.2631,0.4809,0.4706,1.3960,87
2026-02-06 17:25:32.620,1.1737,0.0315,0.2590,0.4821,0.4704,1.3961,88
2026-02-06 17:25:32.846,1.1737,0.0312,0.2630,0.4829,0.4742,1.3961,89
2026-02-06 17:25:33.076,1.1737,0.0312,0.2660,0.4824,0.4717,1.3961,90
2026-02-06 17:25:33.301,1.1737,0.0313,0.2673,0.4821,0.4767,1.3961,91
2026-02-06 17:25:33.531,1.1737,0.0311,0.2566,0.4819,0.4787,1.3961,92
2026-02-06 17:25:33.767,1.1737,0.0320,0.2660,0.4823,0.4799,1.3961,93
2026-02-06 17:25:33.997,1.1737,0.0321,0.2565,0.4826,0.4829,1.3961,94
2026-02-06 17:25:34.231,1.1737,0.0321,0.2659,0.4827,0.4845,1.3961,95
2026-02-06 17:25:34.464,1.1737,0.0325,0.2635,0.4829,0.4855,1.3961,96
2026-02-06 17:25:34.706,1.1737,0.0321,0.2668,0.4829,0.4848,1.3961,97
2026-02-06 17:25:34.939,1.1737,0.0313,0.2621,0.4824,0.4858,1.3961,98
2026-02-06 17:25:35.176,1.1737,0.0313,0.2635,0.4821,0.4875,1.3961,99
2026-02-06 17:25:35.409,1.1737,0.0314,0.2674,0.4818,0.4885,1.3961,100
2026-02-06 17:25:35.642,1.1737,0.0314,0.2672,0.4817,0.4892,1.3961,101
2026-02-06 17:25:35.880,1.1737,0.0312,0.2589,0.4817,0.4898,1.3961,102

STATISTIKEN

MITTELWERTE:
Durchschnittliche Breite (m):,0.4852
Durchschnittliche Höhe (m):,0.4724
Durchschnittliche Tiefe (m):,1.3774
Anzahl Einträge:,100
