Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-04 21:50:07.143,1.5034,0.5138,0.4875,0.1129,0.3661,0.3344,3
2026-02-04 21:50:07.406,1.0080,0.1808,0.1260,0.1393,0.3431,0.5920,5
2026-02-04 21:50:07.671,1.0080,0.1808,0.1260,0.1522,0.3318,0.7183,7
2026-02-04 21:50:07.940,1.0080,0.1808,0.1260,0.1586,0.3263,0.7801,9
2026-02-04 21:50:08.204,1.0080,0.1808,0.1260,0.1617,0.3280,0.8104,11
2026-02-04 21:50:08.437,1.0080,0.1808,0.1260,0.1632,0.3288,0.8253,13
2026-02-04 21:50:08.670,1.0080,0.1808,0.1260,0.1639,0.3293,0.8326,15
2026-02-04 21:50:08.916,1.5213,0.3698,0.3735,0.1393,0.3764,0.6024,18
2026-02-04 21:50:09.149,1.5213,0.3698,0.3735,0.1309,0.3926,0.5235,21
2026-02-04 21:50:09.376,1.5213,0.3698,0.3735,0.1344,0.3791,0.5644,23
2026-02-04 21:50:09.618,1.5213,0.3698,0.3735,0.1362,0.3725,0.5844,25
2026-02-04 21:50:09.839,1.5213,0.3698,0.3735,0.1370,0.3693,0.5943,27
2026-02-04 21:50:10.066,1.5213,0.3698,0.3735,0.1292,0.3893,0.5187,30
2026-02-04 21:50:10.295,1.5213,0.3698,0.3735,0.1336,0.3775,0.5621,32
2026-02-04 21:50:10.526,1.5213,0.3698,0.3735,0.1358,0.3717,0.5833,34
2026-02-04 21:50:10.757,1.5213,0.3698,0.3735,0.1368,0.3689,0.6140,36
2026-02-04 21:50:11.002,1.5213,0.3698,0.3735,0.1373,0.3675,0.6290,38
2026-02-04 21:50:11.240,1.5213,0.3698,0.3735,0.1376,0.3662,0.6363,40
2026-02-04 21:50:11.481,1.5213,0.3698,0.3735,0.1377,0.3656,0.6400,42
2026-02-04 21:50:11.728,1.5213,0.3698,0.3660,0.1384,0.3625,0.6417,44
2026-02-04 21:50:11.978,1.5213,0.3698,0.3660,0.1387,0.3611,0.6426,46
2026-02-04 21:50:12.230,1.5213,0.3698,0.3660,0.1389,0.3603,0.6430,48
2026-02-04 21:50:12.493,1.5213,0.3698,0.3660,0.1390,0.3600,0.6432,50
2026-02-04 21:50:12.758,1.0562,0.1823,0.1245,0.1517,0.3424,0.7697,52
2026-02-04 21:50:13.029,1.0562,0.1823,0.1245,0.1579,0.3337,0.8317,54
2026-02-04 21:50:13.310,1.0562,0.1823,0.1245,0.1610,0.3295,0.8621,56
2026-02-04 21:50:13.586,1.0562,0.1838,0.1200,0.1616,0.3247,0.8770,58
2026-02-04 21:50:13.864,1.0562,0.1838,0.1200,0.1619,0.3224,0.8843,60
2026-02-04 21:50:14.135,1.0562,0.1838,0.1200,0.1620,0.3168,0.8879,62
