Timestamp,Position_X_m,Position_Y_m,Position_Z_m,Breite_m,Hoehe_m,Tiefe_m,Confidence
2026-02-06 18:10:08.416,1.1085,0.0131,0.2652,0.5134,0.4774,1.5738,3
2026-02-06 18:10:08.702,1.1085,0.0135,0.2652,0.5127,0.4772,1.5738,4
2026-02-06 18:10:08.960,1.1085,0.0135,0.2658,0.5122,0.4773,1.5738,5
2026-02-06 18:10:09.207,1.1085,0.0136,0.2649,0.5118,0.4771,1.5738,6
2026-02-06 18:10:09.440,1.1085,0.0136,0.2652,0.5115,0.4770,1.5738,7
2026-02-06 18:10:09.680,1.1085,0.0136,0.2643,0.5113,0.4767,1.5738,8
2026-02-06 18:10:09.924,1.1085,0.0136,0.2652,0.5113,0.4770,1.5738,9
2026-02-06 18:10:10.162,1.1085,0.0136,0.2653,0.5113,0.4769,1.5738,10
2026-02-06 18:10:10.401,1.1085,0.0150,0.2647,0.5104,0.4770,1.5738,11
2026-02-06 18:10:10.640,1.1085,0.0169,0.2653,0.5110,0.4770,1.5738,12
2026-02-06 18:10:10.880,1.1085,0.0154,0.2649,0.5122,0.4769,1.5738,13
2026-02-06 18:10:11.121,1.1085,0.0169,0.2652,0.5121,0.4764,1.5738,14
2026-02-06 18:10:11.373,1.1085,0.0169,0.2656,0.5122,0.4767,1.5738,15
2026-02-06 18:10:11.613,1.1085,0.0168,0.2649,0.5121,0.4768,1.5738,16
2026-02-06 18:10:11.851,1.1085,0.0168,0.2647,0.5121,0.4767,1.5738,17
2026-02-06 18:10:12.095,1.1085,0.0168,0.2647,0.5121,0.4767,1.5738,18
2026-02-06 18:10:12.336,1.1085,0.0156,0.2636,0.5130,0.4766,1.5738,19
2026-02-06 18:10:12.575,1.1085,0.0171,0.2634,0.5138,0.4759,1.5738,20
2026-02-06 18:10:12.810,1.1085,0.0161,0.2658,0.5150,0.4755,1.5738,21
2026-02-06 18:10:13.048,1.1085,0.0166,0.2645,0.5158,0.4759,1.5738,22
2026-02-06 18:10:13.290,1.1085,0.0172,0.2645,0.5157,0.4762,1.5738,23
2026-02-06 18:10:13.540,1.1085,0.0169,0.2648,0.5162,0.4763,1.5738,24
2026-02-06 18:10:13.778,1.1085,0.0161,0.2645,0.5166,0.4763,1.5738,25
2026-02-06 18:10:14.015,1.1085,0.0157,0.2651,0.5163,0.4759,1.5738,26
2026-02-06 18:10:14.270,1.1085,0.0160,0.2648,0.5158,0.4760,1.5738,27
2026-02-06 18:10:14.511,1.1085,0.0157,0.2636,0.5157,0.4755,1.5738,28
2026-02-06 18:10:14.755,1.1080,0.0158,0.2651,0.5155,0.4759,1.5740,29
2026-02-06 18:10:14.996,1.1080,0.0157,0.2636,0.5155,0.4762,1.5742,30
2026-02-06 18:10:15.233,1.1080,0.0160,0.2637,0.5154,0.4757,1.5743,31
2026-02-06 18:10:15.477,1.1080,0.0161,0.2649,0.5155,0.4761,1.5744,32
2026-02-06 18:10:15.735,1.1080,0.0160,0.2636,0.5155,0.4761,1.5745,33
2026-02-06 18:10:15.979,1.1080,0.0155,0.2647,0.5156,0.4756,1.5745,34
2026-02-06 18:10:16.217,1.1080,0.0162,0.2652,0.5156,0.4760,1.5746,35
2026-02-06 18:10:16.458,1.1080,0.0163,0.2649,0.5156,0.4765,1.5746,36
2026-02-06 18:10:16.700,1.1080,0.0162,0.2650,0.5156,0.4766,1.5746,37
2026-02-06 18:10:16.941,1.1080,0.0161,0.2635,0.5157,0.4768,1.5746,38
2026-02-06 18:10:17.179,1.1080,0.0159,0.2648,0.5156,0.4768,1.5746,39
2026-02-06 18:10:17.424,1.1080,0.0161,0.2639,0.5156,0.4769,1.5746,40
2026-02-06 18:10:17.675,1.1080,0.0159,0.2648,0.5157,0.4769,1.5746,41
2026-02-06 18:10:17.919,1.1080,0.0159,0.2649,0.5156,0.4770,1.5746,42
2026-02-06 18:10:18.162,1.1080,0.0159,0.2648,0.5156,0.4771,1.5746,43
2026-02-06 18:10:18.408,1.1080,0.0161,0.2648,0.5155,0.4772,1.5746,44
2026-02-06 18:10:18.648,1.1080,0.0159,0.2650,0.5155,0.4772,1.5746,45
2026-02-06 18:10:18.890,1.1080,0.0161,0.2638,0.5156,0.4772,1.5746,46
2026-02-06 18:10:19.138,1.1080,0.0159,0.2647,0.5156,0.4772,1.5746,47
2026-02-06 18:10:19.383,1.1080,0.0161,0.2631,0.5157,0.4765,1.5746,48
